date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-09-26,103372.105902,103444.302684,0.0,289.880005,72.196782,28400.0,75044.302684,SHORT_PUT,109216.677903,102477.601587
2018-09-27,103389.870347,103444.302684,0.0,290.690002,54.432337,28400.0,75044.302684,SHORT_PUT,109517.996995,102558.601343
2018-09-28,103405.354467,103444.302684,0.0,290.720001,38.948217,28400.0,75044.302684,SHORT_PUT,109529.156541,102561.601221
2018-10-01,103436.609963,103444.302684,0.0,291.730011,7.692721,28400.0,75044.302684,SHORT_PUT,109904.880174,102662.602197
2018-10-02,103440.284154,103444.302684,0.0,291.559998,4.01853,28400.0,75044.302684,SHORT_PUT,109841.635179,102645.600854
2018-10-03,103442.708303,103444.302684,0.0,291.720001,1.594381,28400.0,75044.302684,SHORT_PUT,109901.156541,102661.601221
2018-10-04,103443.003097,103444.302684,0.0,289.440002,1.299587,28400.0,75044.302684,SHORT_PUT,109052.996995,102433.601343
2018-10-05,103444.302684,103444.302684,0.0,287.820007,0.0,0.0,103444.302684,CASH,108450.358812,102271.601831
2018-10-08,103444.302684,103444.302684,0.0,287.820007,0.0,0.0,103444.302684,CASH,108450.358812,102271.601831
2018-10-09,103408.375344,103768.287413,0.0,287.399994,359.912069,28100.0,75668.287413,SHORT_PUT,108294.113816,102229.600488
2018-10-10,102992.558431,103768.287413,0.0,278.299988,775.728982,28100.0,75668.287413,SHORT_PUT,104908.911546,101319.599878
2018-10-11,102351.111275,103768.287413,0.0,272.170013,1417.176137,28100.0,75668.287413,SHORT_PUT,102628.561082,100706.602441
2018-10-12,102529.433521,103768.287413,0.0,275.950012,1238.853891,28100.0,75668.287413,SHORT_PUT,104034.720628,101084.602319
2018-10-15,102611.804157,103768.287413,0.0,274.399994,1156.483255,28100.0,75668.287413,SHORT_PUT,103458.113816,100929.600488
2018-10-16,102978.70704,103768.287413,0.0,280.399994,789.580373,28100.0,75668.287413,SHORT_PUT,105690.113816,101529.600488
